actual_arrival_delay_min,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,delayed,hour,scheduled_travel_time_min,transport_type_Metro,transport_type_Train,transport_type_Tram,weather_condition_Cloudy,weather_condition_Fog,weather_condition_Rain,weather_condition_Snow,weather_condition_Storm,event_type_Festival,event_type_No events,event_type_Parade,event_type_Protest,event_type_Sports,season_Spring,season_Summer,season_Winter
3,5.1,52,46,13.0,500,81,0,1,6,0,5,53.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True
9,34.0,64,11,11.4,0,53,0,0,6,1,5,39.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0,29.5,35,31,14.1,0,67,1,0,6,0,5,44.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10,27.4,55,41,6.4,500,84,0,0,6,1,5,19.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
14,0.1,90,30,18.5,500,46,0,0,6,1,6,35.0,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
4,25.2,44,21,2.3,0,41,0,0,6,0,6,41.0,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
28,3.6,61,16,6.4,0,22,1,1,6,1,6,27.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
23,34.1,41,19,0.6,0,85,0,0,6,1,6,33.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
19,-2.9,34,19,5.4,500,64,0,0,6,1,7,58.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
3,9.1,93,42,4.4,50000,88,0,0,6,0,7,55.0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
8,12.1,56,7,1.0,0,53,0,0,6,1,7,56.0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True
21,28.0,74,46,9.8,2000,91,0,0,6,1,7,44.0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False
-1,25.6,64,33,9.4,0,10,0,0,6,0,8,33.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
22,10.0,55,48,1.6,10000,62,0,1,6,1,8,27.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
0,17.6,52,22,5.2,500,21,0,0,6,0,8,56.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
11,28.4,42,37,19.1,500,53,0,0,6,1,8,36.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
28,-4.3,32,52,2.2,0,88,0,0,6,1,9,17.0,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
